DATE,CUSR0000SETD
1967-01-01,29.800
1967-02-01,29.900
1967-03-01,30.000
1967-04-01,30.100
1967-05-01,30.200
1967-06-01,30.300
1967-07-01,30.400
1967-08-01,30.600
1967-09-01,30.700
1967-10-01,30.800
1967-11-01,31.000
1967-12-01,31.100
1968-01-01,31.100
1968-02-01,31.300
1968-03-01,31.500
1968-04-01,31.700
1968-05-01,31.800
1968-06-01,31.900
1968-07-01,32.000
1968-08-01,32.200
1968-09-01,32.400
1968-10-01,32.600
1968-11-01,32.800
1968-12-01,33.000
1969-01-01,33.200
1969-02-01,33.300
1969-03-01,33.500
1969-04-01,33.600
1969-05-01,33.800
1969-06-01,33.900
1969-07-01,34.100
1969-08-01,34.300
1969-09-01,34.500
1969-10-01,34.800
1969-11-01,34.900
1969-12-01,35.100
1970-01-01,35.500
1970-02-01,35.700
1970-03-01,35.900
1970-04-01,36.100
1970-05-01,36.400
1970-06-01,36.600
1970-07-01,36.800
1970-08-01,37.000
1970-09-01,37.100
1970-10-01,37.300
1970-11-01,37.600
1970-12-01,37.700
1971-01-01,37.800
1971-02-01,38.200
1971-03-01,38.400
1971-04-01,38.800
1971-05-01,39.000
1971-06-01,39.300
1971-07-01,39.600
1971-08-01,39.800
1971-09-01,39.900
1971-10-01,40.000
1971-11-01,40.100
1971-12-01,40.300
1972-01-01,40.400
1972-02-01,40.500
1972-03-01,40.600
1972-04-01,40.700
1972-05-01,40.800
1972-06-01,41.000
1972-07-01,41.100
1972-08-01,41.300
1972-09-01,41.400
1972-10-01,41.500
1972-11-01,41.700
1972-12-01,41.800
1973-01-01,42.000
1973-02-01,42.200
1973-03-01,42.400
1973-04-01,42.700
1973-05-01,42.900
1973-06-01,43.100
1973-07-01,43.300
1973-08-01,43.500
1973-09-01,43.700
1973-10-01,43.900
1973-11-01,44.200
1973-12-01,44.500
1974-01-01,44.700
1974-02-01,45.200
1974-03-01,45.600
1974-04-01,46.000
1974-05-01,46.500
1974-06-01,46.900
1974-07-01,47.700
1974-08-01,48.300
1974-09-01,49.400
1974-10-01,50.000
1974-11-01,50.600
1974-12-01,50.900
1975-01-01,51.700
1975-02-01,52.100
1975-03-01,52.600
1975-04-01,53.000
1975-05-01,53.200
1975-06-01,53.500
1975-07-01,53.900
1975-08-01,54.100
1975-09-01,54.400
1975-10-01,54.600
1975-11-01,55.200
1975-12-01,55.600
1976-01-01,56.300
1976-02-01,56.400
1976-03-01,56.600
1976-04-01,56.800
1976-05-01,57.100
1976-06-01,57.400
1976-07-01,57.700
1976-08-01,58.100
1976-09-01,58.400
1976-10-01,58.700
1976-11-01,59.000
1976-12-01,59.300
1977-01-01,59.700
1977-02-01,60.200
1977-03-01,60.700
1977-04-01,61.000
1977-05-01,61.400
1977-06-01,61.700
1977-07-01,62.100
1977-08-01,62.500
1977-09-01,62.900
1977-10-01,63.100
1977-11-01,63.400
1977-12-01,64.100
1978-01-01,64.500
1978-02-01,65.000
1978-03-01,65.200
1978-04-01,65.600
1978-05-01,66.100
1978-06-01,66.700
1978-07-01,67.200
1978-08-01,67.700
1978-09-01,68.200
1978-10-01,68.900
1978-11-01,69.400
1978-12-01,69.900
1979-01-01,70.400
1979-02-01,71.000
1979-03-01,71.700
1979-04-01,72.300
1979-05-01,72.900
1979-06-01,73.500
1979-07-01,74.200
1979-08-01,74.700
1979-09-01,75.100
1979-10-01,75.700
1979-11-01,76.200
1979-12-01,76.900
1980-01-01,77.600
1980-02-01,78.400
1980-03-01,79.100
1980-04-01,80.100
1980-05-01,80.800
1980-06-01,81.200
1980-07-01,81.800
1980-08-01,82.400
1980-09-01,83.200
1980-10-01,83.900
1980-11-01,84.600
1980-12-01,85.300
1981-01-01,86.000
1981-02-01,86.600
1981-03-01,87.200
1981-04-01,87.700
1981-05-01,88.200
1981-06-01,88.700
1981-07-01,89.300
1981-08-01,89.900
1981-09-01,90.800
1981-10-01,91.500
1981-11-01,92.000
1981-12-01,92.500
1982-01-01,92.800
1982-02-01,93.500
1982-03-01,94.300
1982-04-01,94.800
1982-05-01,95.300
1982-06-01,96.000
1982-07-01,96.600
1982-08-01,97.000
1982-09-01,97.400
1982-10-01,97.800
1982-11-01,97.900
1982-12-01,98.200
1983-01-01,98.600
1983-02-01,99.000
1983-03-01,99.200
1983-04-01,99.500
1983-05-01,99.900
1983-06-01,100.100
1983-07-01,100.200
1983-08-01,100.600
1983-09-01,101.000
1983-10-01,101.300
1983-11-01,101.900
1983-12-01,101.900
1984-01-01,102.100
1984-02-01,102.500
1984-03-01,102.800
1984-04-01,103.000
1984-05-01,103.400
1984-06-01,103.500
1984-07-01,103.800
1984-08-01,104.100
1984-09-01,104.600
1984-10-01,104.900
1984-11-01,105.100
1984-12-01,105.200
1985-01-01,105.400
1985-02-01,105.800
1985-03-01,105.900
1985-04-01,105.800
1985-05-01,106.200
1985-06-01,106.500
1985-07-01,106.700
1985-08-01,106.900
1985-09-01,107.400
1985-10-01,108.100
1985-11-01,108.100
1985-12-01,108.600
1986-01-01,108.800
1986-02-01,109.100
1986-03-01,109.200
1986-04-01,109.600
1986-05-01,109.800
1986-06-01,110.000
1986-07-01,110.400
1986-08-01,110.700
1986-09-01,110.900
1986-10-01,111.100
1986-11-01,111.900
1986-12-01,112.600
1987-01-01,112.800
1987-02-01,113.300
1987-03-01,113.300
1987-04-01,114.300
1987-05-01,114.300
1987-06-01,114.400
1987-07-01,114.500
1987-08-01,115.100
1987-09-01,115.700
1987-10-01,116.100
1987-11-01,116.500
1987-12-01,116.900
1988-01-01,117.200
1988-02-01,117.700
1988-03-01,118.500
1988-04-01,118.800
1988-05-01,119.300
1988-06-01,119.700
1988-07-01,120.000
1988-08-01,120.300
1988-09-01,120.900
1988-10-01,121.100
1988-11-01,121.500
1988-12-01,121.500
1989-01-01,122.500
1989-02-01,123.300
1989-03-01,123.300
1989-04-01,123.800
1989-05-01,124.300
1989-06-01,124.600
1989-07-01,124.900
1989-08-01,125.600
1989-09-01,126.000
1989-10-01,126.500
1989-11-01,126.700
1989-12-01,127.100
1990-01-01,127.500
1990-02-01,127.600
1990-03-01,128.600
1990-04-01,129.400
1990-05-01,129.400
1990-06-01,129.700
1990-07-01,130.300
1990-08-01,130.500
1990-09-01,131.300
1990-10-01,131.900
1990-11-01,132.500
1990-12-01,132.700
1991-01-01,133.300
1991-02-01,133.500
1991-03-01,133.900
1991-04-01,134.400
1991-05-01,134.700
1991-06-01,135.700
1991-07-01,136.400
1991-08-01,137.000
1991-09-01,137.600
1991-10-01,138.100
1991-11-01,138.500
1991-12-01,138.600
1992-01-01,139.200
1992-02-01,139.700
1992-03-01,140.200
1992-04-01,140.500
1992-05-01,140.800
1992-06-01,141.300
1992-07-01,141.500
1992-08-01,141.700
1992-09-01,142.000
1992-10-01,142.300
1992-11-01,142.700
1992-12-01,143.300
1993-01-01,143.600
1993-02-01,144.300
1993-03-01,144.600
1993-04-01,145.200
1993-05-01,145.400
1993-06-01,145.900
1993-07-01,146.300
1993-08-01,146.300
1993-09-01,146.600
1993-10-01,146.900
1993-11-01,147.300
1993-12-01,147.800
1994-01-01,148.200
1994-02-01,148.600
1994-03-01,148.900
1994-04-01,149.300
1994-05-01,149.700
1994-06-01,149.900
1994-07-01,150.200
1994-08-01,150.800
1994-09-01,151.100
1994-10-01,151.500
1994-11-01,151.700
1994-12-01,152.000
1995-01-01,152.000
1995-02-01,152.500
1995-03-01,152.700
1995-04-01,153.200
1995-05-01,153.800
1995-06-01,153.600
1995-07-01,154.000
1995-08-01,154.500
1995-09-01,155.100
1995-10-01,155.400
1995-11-01,155.700
1995-12-01,155.700
1996-01-01,156.200
1996-02-01,156.500
1996-03-01,156.900
1996-04-01,157.200
1996-05-01,157.600
1996-06-01,157.900
1996-07-01,158.300
1996-08-01,158.700
1996-09-01,159.800
1996-10-01,160.200
1996-11-01,160.300
1996-12-01,160.600
1997-01-01,161.100
1997-02-01,161.100
1997-03-01,161.500
1997-04-01,162.000
1997-05-01,162.400
1997-06-01,162.800
1997-07-01,163.100
1997-08-01,163.400
1997-09-01,163.300
1997-10-01,163.600
1997-11-01,163.800
1997-12-01,164.700
1998-01-01,164.900
1998-02-01,165.300
1998-03-01,165.700
1998-04-01,165.800
1998-05-01,166.100
1998-06-01,166.700
1998-07-01,167.000
1998-08-01,167.500
1998-09-01,168.200
1998-10-01,168.700
1998-11-01,169.300
1998-12-01,169.700
1999-01-01,169.700
1999-02-01,170.200
1999-03-01,170.500
1999-04-01,171.000
1999-05-01,171.500
1999-06-01,171.900
1999-07-01,172.300
1999-08-01,172.400
1999-09-01,172.700
1999-10-01,172.900
1999-11-01,173.400
1999-12-01,173.900
2000-01-01,174.500
2000-02-01,174.900
2000-03-01,175.600
2000-04-01,176.000
2000-05-01,176.500
2000-06-01,177.000
2000-07-01,177.400
2000-08-01,178.500
2000-09-01,178.700
2000-10-01,179.200
2000-11-01,179.700
2000-12-01,179.900
2001-01-01,180.500
2001-02-01,181.200
2001-03-01,181.600
2001-04-01,182.000
2001-05-01,182.600
2001-06-01,182.900
2001-07-01,183.600
2001-08-01,184.400
2001-09-01,185.100
2001-10-01,185.800
2001-11-01,186.100
2001-12-01,186.300
2002-01-01,187.000
2002-02-01,187.700
2002-03-01,188.400
2002-04-01,189.100
2002-05-01,190.000
2002-06-01,190.200
2002-07-01,190.000
2002-08-01,191.300
2002-09-01,191.500
2002-10-01,191.700
2002-11-01,192.500
2002-12-01,193.300
2003-01-01,193.700
2003-02-01,194.200
2003-03-01,194.200
2003-04-01,194.700
2003-05-01,195.000
2003-06-01,195.300
2003-07-01,196.200
2003-08-01,195.900
2003-09-01,196.300
2003-10-01,196.700
2003-11-01,196.900
2003-12-01,198.000
2004-01-01,198.200
2004-02-01,198.200
2004-03-01,198.500
2004-04-01,198.600
2004-05-01,199.000
2004-06-01,199.700
2004-07-01,200.300
2004-08-01,200.800
2004-09-01,200.700
2004-10-01,201.700
2004-11-01,202.900
2004-12-01,203.300
2005-01-01,204.000
2005-02-01,203.900
2005-03-01,204.700
2005-04-01,205.000
2005-05-01,205.600
2005-06-01,206.100
2005-07-01,206.700
2005-08-01,207.300
2005-09-01,208.700
2005-10-01,209.800
2005-11-01,210.500
2005-12-01,210.700
2006-01-01,211.200
2006-02-01,212.900
2006-03-01,213.400
2006-04-01,213.900
2006-05-01,214.900
2006-06-01,215.500
2006-07-01,216.700
2006-08-01,216.200
2006-09-01,217.000
2006-10-01,218.500
2006-11-01,218.500
2006-12-01,218.800
2007-01-01,219.262
2007-02-01,220.530
2007-03-01,221.160
2007-04-01,221.508
2007-05-01,221.999
2007-06-01,222.553
2007-07-01,223.487
2007-08-01,224.019
2007-09-01,224.302
2007-10-01,224.939
2007-11-01,225.672
